,geoid20,namelsad20,aland20,awater20,intptlat20,intptlon20,town20,town_id,county20,area_acres,sq_miles,pop1960,pop1970,pop1980,pop1990,pop2000,pop2010,pop2020,popch10_20,housing20,shape_area,shape_len,mapc_muni_id,mapc_municipal
0,2501731540,Hudson town,29855341.0,874321.0,+42.3890712,-071.5458637,HUDSON,141,MIDDLESEX,7593.01,11.86,9666,16084,16408,17233,18113,19063,20092,1029,8502,30727805.2179,30078.9697394,141,hudson
1,2501737875,Malden city,13065182.0,99282.0,+42.4293799,-071.0587065,MALDEN,165,MIDDLESEX,3246.47,5.07,57676,56127,53386,53884,56340,59450,66263,6813,27721,13138013.3468,17645.1281412,165,malden
2,2500938400,Marblehead town,11340958.0,39374816.0,+42.4956288,-070.8358197,MARBLEHEAD,168,ESSEX,2816.98,4.4,18521,21295,20126,19971,20377,19808,20441,633,8965,11399923.9754,29061.2938844,168,marblehead
3,2501780230,Wilmington town,43961038.0,439325.0,+42.5646465,-071.1645158,WILMINGTON,342,MIDDLESEX,10971.23,17.14,12475,17102,17471,17651,21363,22325,23349,1024,8320,44398983.7478,31736.4357074,342,wilmington
4,2501761380,Sherborn town,40890689.0,950881.0,+42.2319469,-071.3729634,SHERBORN,269,MIDDLESEX,10338.55,16.15,1806,3309,4049,3989,4200,4119,4401,282,1562,41838622.2812,30642.7218035,269,sherborn
5,2501705070,Belmont town,12038164.0,183393.0,+42.3953169,-071.1802841,BELMONT,26,MIDDLESEX,3019.84,4.72,28715,28285,26100,24720,24194,24729,27295,2566,10882,12220838.9267,16644.9907323,26,belmont
6,2501711000,Cambridge city,16558895.0,1830835.0,+42.3760428,-071.1186798,CAMBRIDGE,49,MIDDLESEX,4543.92,7.1,107716,100361,95322,95802,101355,105162,118403,13241,53907,18388589.1216,26443.7227636,49,cambridge
7,2501721990,Everett city,8847540.0,636058.0,+42.4059375,-071.0546487,EVERETT,93,MIDDLESEX,2188.25,3.42,43544,42485,37195,35701,38037,41667,49075,7408,18208,8855542.16761,15835.1819352,93,everett
8,2501730700,Holliston town,48312679.0,1035601.0,+42.1959508,-071.4534301,HOLLISTON,136,MIDDLESEX,12193.36,19.05,6222,12069,12622,12926,13801,13547,14996,1449,5562,49344776.6952,33816.8134737,136,holliston
9,2501743895,Natick town,38743006.0,2594864.0,+42.2848223,-071.3488109,NATICK,198,MIDDLESEX,10214.11,15.96,28831,31057,29461,30510,32170,33006,37006,4000,15680,41335018.3087,30560.5492744,198,natick
10,2501748955,North Reading town,34075952.0,859059.0,+42.5784007,-071.0844481,NORTH READING,213,MIDDLESEX,8632.4,13.49,8331,11264,11455,12002,13837,14892,15554,662,5875,34934076.6477,30483.1114265,213,north reading
11,2501768260,Sudbury town,62866160.0,1236872.0,+42.3833674,-071.4210704,SUDBURY,288,MIDDLESEX,15839.25,24.75,7447,13506,14027,14358,16841,17659,18934,1275,6556,64099152.2449,39747.3039867,288,sudbury
12,2501773440,Watertown Town city,10356390.0,332258.0,+42.3694508,-071.1779249,WATERTOWN,314,MIDDLESEX,2641.06,4.13,39092,39307,34384,33284,32986,31915,35329,3414,17010,10687983.0964,16958.0895569,314,watertown
13,2501773790,Wayland town,38964756.0,2098829.0,+42.3604268,-071.3610994,WAYLAND,315,MIDDLESEX,10146.39,15.85,10444,13461,12170,11874,13100,12994,13943,949,5296,41060982.2281,35888.1380358,315,wayland
14,2502317895,Duxbury town,61385528.0,35994841.0,+42.0444072,-070.7060604,DUXBURY,82,PLYMOUTH,15472.06,24.18,4727,7636,11807,13895,14248,15059,16090,1031,6274,62613222.9255,78912.9824482,82,duxbury
15,2502331645,Hull town,7437835.0,65626323.0,+42.3402327,-070.8833012,HULL,142,PLYMOUTH,1920.9,3.0,7055,9961,9714,10466,11050,10293,10072,-221,5856,7773594.42366,55736.4677474,142,hull
16,2502352630,Pembroke town,56431671.0,4585316.0,+42.0678041,-070.8057131,PEMBROKE,231,PLYMOUTH,15076.64,23.56,4919,11193,13487,14544,16927,17837,18361,524,7007,61013007.572,42272.7381913,231,pembroke
17,2502357775,Rockland town,25975560.0,238552.0,+42.1292512,-070.9087358,ROCKLAND,251,PLYMOUTH,6477.2,10.12,13119,15674,15695,16123,17670,17489,17803,314,7263,26212297.005,24689.746185,251,rockland
18,2502330210,Hingham town,57499224.0,7216917.0,+42.2243188,-070.8806733,HINGHAM,131,PLYMOUTH,14488.44,22.64,15378,18845,20339,19821,19882,22157,24284,2127,9930,58632627.8544,56628.601628,131,hingham
19,2502360330,Scituate town,44579684.0,37872085.0,+42.2050615,-070.7429781,SCITUATE,264,PLYMOUTH,11209.57,17.51,11214,16973,17317,16786,17863,18133,19063,930,8260,45363539.6141,75247.9389518,264,scituate
20,2502763165,Southborough town,36285338.0,3920482.0,+42.2996253,-071.5284274,SOUTHBOROUGH,277,WORCESTER,9934.4,15.52,3996,5798,6193,6628,8781,9767,10450,683,3763,40203105.1429,27678.3609212,277,southborough
21,2502706365,Bolton town,51659942.0,345877.0,+42.4399331,-071.6018846,BOLTON,34,WORCESTER,12850.23,20.08,1264,1905,2530,3134,4148,4897,5665,768,1982,52003019.5169,28760.1843898,34,bolton
22,2501704615,Bedford town,35385677.0,457784.0,+42.4993321,-071.2819012,BEDFORD,23,MIDDLESEX,8856.72,13.84,10969,13513,13067,12996,12595,13320,14383,1063,5444,35841873.8659,24810.2962226,23,bedford
23,2501707350,Boxborough town,26637362.0,317226.0,+42.4859849,-071.5209848,BOXBOROUGH,37,MIDDLESEX,6660.32,10.41,744,1451,3126,3343,4868,4996,5506,510,2362,26953358.0887,21177.6583762,37,boxborough
24,2501709840,Burlington town,30432086.0,294382.0,+42.5032267,-071.2017130,BURLINGTON,48,MIDDLESEX,7592.35,11.86,12852,21980,23486,23302,22876,24498,26377,1879,10431,30725157.5147,23749.1904086,48,burlington
25,2501768050,Stow town,44865893.0,1744542.0,+42.4296884,-071.5125140,STOW,286,MIDDLESEX,11517.06,18.0,2573,3984,5144,5328,5902,6590,7174,584,2770,46607880.2409,28807.9560066,286,stow
